Link,Title,Author,Rating,Total Views,Average Views,Followers,Favorites,Ratings,Pages,Patreon Link,Patron Count,Earnings
https://www.royalroad.com/fiction/38374/path-of-cultivation-starting-the-process,Path of Cultivation: Starting the process,ImperialUpgrade,3.5,5618.0,194.0,24.0,6.0,5.0,149.0,,,
https://www.royalroad.com/fiction/53318/verdant-heart-seed-a-reverend-insanity-fan-fiction,Verdant Heart Seed - A Reverend Insanity fan-fiction,ThunderTaters,4.416665,5123.0,160.0,24.0,10.0,6.0,243.0,,,
https://www.royalroad.com/fiction/35177/the-blight,The Blight,Lodus,4.642855,3506.0,175.0,24.0,5.0,7.0,202.0,,,
https://www.royalroad.com/fiction/47362/making-a-world-into-fantasy,Making a World Into Fantasy,Wyxir,3.6,4842.0,211.0,24.0,5.0,5.0,132.0,,,
https://www.royalroad.com/fiction/28404/battle-hardened,Battle Hardened,Hoaaggie,5.0,3927.0,262.0,24.0,5.0,2.0,76.0,,,
https://www.royalroad.com/fiction/54919/a-warring-dungeon,A Warring Dungeon,Magnesium,4.3,942.0,314.0,24.0,3.0,5.0,22.0,,,
https://www.royalroad.com/fiction/54664/faux-artificer,Faux Artificer,CC Williams,4.0,2232.0,248.0,24.0,4.0,2.0,94.0,,,
https://www.royalroad.com/fiction/44100/a-star-falls-upon-estrea,A Star Falls Upon Estrea,BladeGrip,4.157895,5745.0,160.0,24.0,9.0,19.0,760.0,,,
https://www.royalroad.com/fiction/53323/annas-dream,Anna's Dream,srwoods,4.52778,4577.0,163.0,24.0,9.0,18.0,273.0,,,
https://www.royalroad.com/fiction/53084/eldritch-blade-knight-with-a-thousand-eyes,Eldritch Blade: Knight With A Thousand Eyes,ArgyleInsect,3.583335,4021.0,168.0,24.0,7.0,6.0,142.0,,,
https://www.royalroad.com/fiction/35460/the-chronicles-of-sorataki-phantom-rocket,The Chronicles of Sorataki: Phantom rocket,D-S-Nate,4.0,4030.0,126.0,24.0,13.0,7.0,635.0,,,
https://www.royalroad.com/fiction/57561/the-age-of-walking-corpses,The age of walking corpses,lucky12333,2.5,4649.0,40.0,24.0,6.0,4.0,787.0,,,
https://www.royalroad.com/fiction/49186/reiss-of-the-eternal,Reiss of the Eternal,GreenSnake,4.5,8401.0,136.0,24.0,8.0,4.0,249.0,,,
https://www.royalroad.com/fiction/58050/the-intelligent-ogre,The Intelligent Ogre,Demonmaster,3.833335,2379.0,216.0,24.0,5.0,3.0,91.0,,,
https://www.royalroad.com/fiction/59409/apocalypse-returnee-here-we-go-again,Apocalypse Returnee: Here We Go Again,ConstanTeen,5.0,144.0,144.0,23.0,6.0,1.0,12.0,https://www.patreon.com/ConstanTeenWebStories,18.0,71.57240999999999
https://www.royalroad.com/fiction/49460/tome-of-the-soul,Tome of the Soul,C_P_Tuck,3.875,7714.0,188.0,23.0,7.0,4.0,469.0,https://www.patreon.com/cptuck,6.0,77.707188
https://www.royalroad.com/fiction/58911/shadow-raven-thief-god-in-the-apocalypse,Shadow Raven: Thief God in the Apocalypse,Thegreatlionfish,3.8125,921.0,184.0,23.0,6.0,8.0,55.0,https://www.patreon.com/Thegreatlionfish,4.0,13.63284
https://www.royalroad.com/fiction/50450/my-information-system,My Information System ,soyad_samiul,3.75,2600.0,144.0,23.0,8.0,8.0,82.0,https://www.patreon.com/soyadsamiul,0.0,
https://www.royalroad.com/fiction/58939/i-created-magic,I created Magic!,Ghost_Worker,3.75,1444.0,96.0,23.0,5.0,4.0,69.0,https://www.patreon.com/user?u=80167314,0.0,0.0
https://www.royalroad.com/fiction/42053/thaum-new-galaxy,Thaum new Galaxy,mcdeathcore,4.333335,2784.0,155.0,23.0,4.0,6.0,126.0,https://www.patreon.com/foolsparadisenovel,0.0,0.0
https://www.royalroad.com/fiction/58038/steal-a-kingdom-bury-a-throne-a-litrpg,"Steal A Kingdom, Bury A Throne (A LitRPG)",L_Lobo_Loco,4.5,1332.0,83.0,23.0,3.0,2.0,365.0,https://www.patreon.com/L_Lobo_Loco,0.0,0.0
https://www.royalroad.com/fiction/39692/exsanguinate,Exsanguinate,OriginalKingD,4.25,22304.0,163.0,23.0,3.0,6.0,578.0,https://www.patreon.com/12AMFiction,0.0,0.0
https://www.royalroad.com/fiction/51535/forged-from-flesh,Forged From Flesh,worlater,3.375,7128.0,188.0,23.0,8.0,4.0,213.0,https://www.patreon.com/worlater,0.0,0.0
https://www.royalroad.com/fiction/48028/psychic-x-fantasy,Psychic x Fantasy,Sleepingdragoon,4.0,5319.0,106.0,23.0,7.0,5.0,473.0,https://www.patreon.com/user?u=46947881,0.0,0.0
https://www.royalroad.com/fiction/50023/celesta,Celesta,Camrad RIP,4.25,9124.0,132.0,23.0,9.0,6.0,1079.0,,,
https://www.royalroad.com/fiction/54192/making-a-living-a-necromancers-journal,Making a Living: A Necromancer's Journal,DamianaMeade,4.375,2223.0,131.0,23.0,3.0,4.0,57.0,,,
https://www.royalroad.com/fiction/51118/luminether-online-a-litrpg-fantasy-adventure,Luminether Online: A LitRPG Fantasy Adventure,Richard Denoncourt,3.4,6192.0,147.0,23.0,3.0,5.0,483.0,,,
https://www.royalroad.com/fiction/52004/dead-eyes-open,Dead Eyes Open,rkgoff,4.9,8072.0,161.0,23.0,9.0,10.0,358.0,,,
https://www.royalroad.com/fiction/42726/king-of-woe,King of Woe,Cigario,4.272725,7131.0,223.0,23.0,8.0,11.0,301.0,,,
https://www.royalroad.com/fiction/58582/the-first-cultivator,The First Cultivator,unstablecog,4.625,1818.0,114.0,23.0,2.0,4.0,115.0,,,
https://www.royalroad.com/fiction/55647/one-tap-daoist,One Tap Daoist,retrozun,5.0,885.0,177.0,23.0,2.0,3.0,29.0,,,
https://www.royalroad.com/fiction/47034/duck-around-and-find-out,Duck Around and Find Out,Starke,5.0,2349.0,90.0,23.0,5.0,2.0,187.0,,,
https://www.royalroad.com/fiction/59098/the-blighted-ones-isekai-reincarnation-magic-female,"The Blighted Ones [Isekai, Reincarnation, Magic, Female Lead]",Jason Noble,3.7,3104.0,115.0,23.0,3.0,5.0,155.0,,,
https://www.royalroad.com/fiction/55840/a-larper-gets-isekaid-to-a-fantasy-world,A Larper Gets Isekai'd to a Fantasy World,LlamaSensei,3.11111,4667.0,292.0,23.0,4.0,9.0,101.0,,,
https://www.royalroad.com/fiction/57093/cleveland-quixotic,Cleveland Quixotic,Bavitz,4.6,1754.0,159.0,23.0,8.0,10.0,245.0,,,
https://www.royalroad.com/fiction/50269/reincarnated-as-the-goddess-of-maids-and-slaves,Reincarnated as the goddess of maids and slaves.,Kraken1,4.0,2049.0,293.0,23.0,9.0,4.0,28.0,,,
https://www.royalroad.com/fiction/49012/freakspotters,FREAKSPOTTERS! ,fairything,5.0,6589.0,137.0,23.0,9.0,3.0,301.0,,,
https://www.royalroad.com/fiction/52921/creation-the-wolves-that-are-us-creation-series,"Creation, The wolves that are us (Creation series, Book 1)",ARvern,3.5,8307.0,98.0,23.0,4.0,3.0,556.0,,,
https://www.royalroad.com/fiction/49041/reduced-to-stardust,Reduced to Stardust,Bonbocchi,3.214285,11455.0,153.0,23.0,2.0,7.0,541.0,,,
